#CWE,OS(you may use '*' for all),additional allowed value other than 0
#Several entries per cwe are allowed

#1_BufferErrors
120,debian,1
121,debian,1
122,debian,1
123,debian,1
124,debian,1
126,debian,1
127,debian,1
129,debian,1
786,debian,1
788,debian,1
823,debian,1
120,FreeBSD,1
121,FreeBSD,1
122,FreeBSD,1
123,FreeBSD,1
124,FreeBSD,1
126,FreeBSD,1
127,FreeBSD,1
129,FreeBSD,1
786,FreeBSD,1
788,FreeBSD,1
823,FreeBSD,1

#2_PPAC
259,debian,-6
290,debian,-6
294,debian,1
294,debian,-6
301,debian,-6
307,debian,-6
259,FreeBSD,-6
290,FreeBSD,-6
294,FreeBSD,1
294,FreeBSD,-6
301,FreeBSD,-6
307,FreeBSD,-6
521,FreeRTOS,-6
384,FreeRTOS,-6

#3_ResourceManagement

#4_CodeInjection

#5_InformationLeakage
214,FreeRTOS,-6
526,FreeRTOS,-6

#6_CryptoErrors

#7_NumericErrors
128,FreeRTOS,1
475,debian,1
475,FreeBSD,1
687,FreeRTOS,1
704,debian,1
704,FreeBSD,1
