CAN ID,Type,Field Name,Sender,Receiver,Bounds/Range,Byte Length,Units,J1939?,PGN,Field Description
0XAAF01000,uint8_t,gear,ECU,ignition,"P, R, N, D",1,N/A,YES,122890,selected gear
0XAAF01A00,uint8_t,throttle_input,ECU,ignition,0/100,1,%,YES,122932,Throttle input state
0XAAF01B00,uint8_t,brake_input,ECU,ignition,0/100,1,%,YES,122934,Brake input state
0XAAF01D00,int8_t,steering_input,ECU,ignition,-100..100,1,N/A,YES,122938,Steering input state
0XAAFEAA00,uint8_t,fuel,ignition,Infotainment Thin Client,0/100,1,%,YES,130552,Percentage of fuel remaining
0XAAFEAAC1,float,car_x,ignition,Infotainment Thin Client,N/A,4,m,No,,infotainment position of car to display x coordinate
0XAAFEADF6,float,car_y,ignition,Infotainment Thin Client,N/A,4,m,No,,infotainment position of car to display y coordinate
0XAAFEAABF,float,car_z,ignition,Infotainment Thin Client,N/A,4,m,No,,infotainment position of car to display z coordinate
0XAACDAD11,float,car_r,ignition,Infotainment Thin Client,N/A,4,m,no,,infotainment position of car to display r rotation
0XAAFECA00,uint8_t,button_pressed,Infotainment Thin Client,Infotainment Server,N/A,1,N/A,No,,Button pressed on infotainment screen.0x01 Station 1 0x02 Station 2 0x03 station 3  0x10 volume down  0x11 volume up
0XAA2FEEF2,uint8_t,music_state,Infotainment Server,Infotainment Thin Client,N/A,1,N/A,No,,Bit 0 music pause/play bit 1-2: music station  bit 3-7 volume
0XAABEA737,uint32_t,heartbeat_req,Admin PC,All,N/A,4,N/A,No,,Heartbeat request number (uint32_t)
0XAABEA225,[uint32_t],heartbeat_ack,All,Admin PC,N/A,8,N/A,No,,Component ID / sender IP address (uint32_t) | heartbeat request number (uint32_t)
0XAAFEEB00,uint32_t,cmd_component_ready,All,All,N/A,4,N/A,No,,Component ID / sender IP address (uint32_t)
0XAAFEEB01,[uint32_t],cmd_component_error,All,All,N/A,8,N/A,No,,Component ID / sender IP address (uint32_t) | Error type (uint32_t)
0XAAFEEB02,uint8_t,cmd_active_scenario,Hacker kiosk,ignition,N/A,1,N/A,No,,Scenario ID (uint8_t)
0XAAFEEB03,uint8_t,cmd_led_seq,Hacker kiosk,ignition,N/A,1,N/A,No,,Led sequence ID (uint8_t)
0XAAFEEB04,uint32_t,cmd_restart,Hacker kiosk,All,N/A,4,N/A,No,,Component ID / sender IP address (uint32_t)
